Name,Sector,Gender,Number,Percentage
פרלה,Jew,Female,6,0.01
איילי,Jew,Female,6,0.01
אתל,Jew,Female,6,0.01
מילכה,Jew,Female,6,0.01
אוולינה,Jew,Female,6,0.01
אביבה,Jew,Female,6,0.01
הלנה,Jew,Female,6,0.01
טילא,Jew,Female,6,0.01
לבונה,Jew,Female,6,0.01
ריזל,Jew,Female,6,0.01
ראדא,Jew,Female,6,0.01
צוף,Jew,Female,6,0.01
מוניקה,Jew,Female,6,0.01
בת ציון,Jew,Female,6,0.01
צהלי,Jew,Female,6,0.01
יונית,Jew,Female,6,0.01
עתליה,Jew,Female,6,0.01
שיה,Jew,Female,6,0.01
אבראהים,Arab,Male,379,2.13
אווס,Arab,Male,38,0.21
איהאם,Arab,Male,112,0.63
אמין,Arab,Male,58,0.33
באסל,Arab,Male,50,0.28
ג'אד,Arab,Male,45,0.25
ג'ואד,Arab,Male,75,0.42
האני,Arab,Male,33,0.19
היית'ם,Arab,Male,22,0.12
ודיע,Arab,Male,44,0.25
וסים,Arab,Male,56,0.31
ורד,Arab,Male,87,0.49
יזן,Arab,Male,141,0.79
כמאל,Arab,Male,45,0.25
ליית,Arab,Male,57,0.32
מג'ד,Arab,Male,141,0.79
מוניר,Arab,Male,21,0.12
נביל,Arab,Male,28,0.16
סאלח,Arab,Male,104,0.58
סארי,Arab,Male,14,0.08
סולימאן,Arab,Male,125,0.7
סיף,Arab,Male,48,0.27
סלים,Arab,Male,36,0.2
סמיר,Arab,Male,35,0.2
